,descricao
79,"Se liguem só, mais uma vez falando sobre linguagens de programação e a escolhida da vez foi uma bem querida: o Python.  Para falar desta que é uma das linguagens de programação mais democráticas e até mais amadas que existem, tivemos além dos membros deste que é o podcast mais querido pela podosfera, uma convidada especial, a Nana (@nanaraythz) que vocês conhecerão melhor no episódio. Houve uma colaboração interessante para que vocês conheçam um pouco mais sobre essa, que é a linguagem de programação mais organizada do planeta, ta ligado? Então assim, dêem aquele play que o episódio ficou pesadão!  Participantes: Junior Pereira Kaio Teixeira Miguel Sorares Nana Raythz Reginaldo Junior  Links: PyJobs - https://www.pyjobs.com.br/ Github Eht-imaging - https://github.com/achael/eht-imaging/ Serenata de Amor - https://serenata.ai/ Python para Desenvolvedores - https://ark4n.files.wordpress.com/2010/01/python_para_desenvolvedores_2ed.pdf AfroPython - https://afropython.org/ AfroPython - https://afropython.org/ PyLadies - http://brasil.pyladies.com/ Python Brasil - https://python.org.br/ Tech && Beer - https://twitter.com/TechBeerPoA Django Girls - https://djangogirls.org/  Musicas: Parliament - P-Funk (Wants To Get Funked Up) Parteum - O Circulo Black Alien - Capitulo Zero Eddie Hazel - Physical Love George Clinton - Knee Deep Deep As A Mutha Funker "
80,"Buscando uma nova estrutura de episódio, resolvemos falar sobre algumas coisas diferentes, numa estrutura um pouco diferente e mais informativa. Desta vez abordamos um assunto sobre infraestrutura na nuvem, algumas notícias e informações interessantes sobre iniciativas que fomentam o Open Source.  O episódio está bem técnico, embora descontraído e com a estética periférica que sempre entregamos.  Incentivo ao estudo sobre a computação na nuvem e ocupação de espaços com direito a convite para um evento que é interessante que cogitemos nossa participação para que nos capacitemos, esperamos que vocês gostem.  Participantes: Junior Pereira Kaio Teixeira Matheus Hernandes Reginaldo Junior  --------------------------------------------  Para registrar-se no Google Cloud OnBoard:  1) Acesse a URL http://bit.ly/gcquebradev    2) Veja qual treinamento escolher (você pode fazer os dois):      - Core Infrastructure e/ou Big Data & Machine Learning   3) Clique no botão REGISTRE-SE ou role até o final da página.  4) Preencha o formulário:     - No campo Treinamento escolha qual deles você quer fazer ou ambos.     - No campo Empresa/Instituição de Ensino como QUEBRADEV, isso é importante para que você tenha sua reserva aceita de imediato, perifatécnicos estão tendo lugares exclusivos.       Não se esqueça, no campo Empresa/Instituição de Ensino preencher como QUEBRADEV, isso garantirá sua vaga no evento!  --------------------------------------------  Links: Entenda o Heartbleed Bug - https://www.youtube.com/watch?v=--g_RSzBWSM Heartbleed test - https://filippo.io/heartbleed/ Linux Foundation - https://canaltech.com.br/seguranca/Empresas-de-tecnologia-se-unem-a-Linux-Foundation-para-melhorar-seguranca/ Você sabe o que é machine learning? - https://canaltech.com.br/inovacao/voce-sabe-o-que-e-machine-learning-entenda-tudo-sobre-esta-tecnologia-104100/ Afinal, o que é Big Data? - http://marketingpordados.com/analise-de-dados/o-que-e-big-data-%F0%9F%A4%96/ MarI/O - Machine Learning for Video Games - https://www.youtube.com/watch?v=qv6UVOQ0F44  Musicas: Jay Z - Hard knock life NAS - One Time 4 Your Mind Group Home - The Legacy feat Guru Mobb Deep - Cradle To The Grave Das EFX - Kaught In Da Ak "
81,"Como vocês sabem, o QuebraDev esteve presente no Perifacon, o evento foi sensacional para que nós levássemos um pouco de conhecimento à algumas pessoas e também fazer com que pessoas da quebrada nos conhecessem!  Rolou uma oficina nossa por lá, rolou panfletagem e interação com várias pessoas, foi um dia bem legal para nós e por conta de toda a importância que o evento teve para nós, resolvemos fazer um episódio falando sobre.  O episódio flerta com a estética periférica nas produções geeks, um pouco sobre cultura pop e representatividade para quem consume e produz este tipo de conteúdo que muitas vezes fecha os olhos para quem é de alguma forma, marginalizado.  Polêmica, informação, descontração e bons sons, dêem aquele play e descubram como foi o evento sob a ótica de quem tem origem periférica.  Participantes: Bruno Dias Gustavo Castilião Junior Pereira Kaio Teixeira Matheus Hernandes Miguel Sorares Reginaldo Junior  Links: PerifaCon - Twitter - https://twitter.com/perifacon PerifaCon - Site - https://perifacon.com PerifaCon - Benfeitoria - https://benfeitoria.com/perifacon Load Comics - YouTube - https://www.youtube.com/channel/UCr57RNsox3QrQniNUiHVDMA Preta, Nerd & BurningHell - http://www.pretaenerd.com.br/ Lado Negro da Força - Podcast - http://ladonegrodaforca.com.br/ Depoisdas19 - Podcast - https://depoisdas19.podbean.com/  Musicas: Yung Buda - Akatsuki de Vila Edgar - O Amor Está Preso niLL - Nego Drama Parte 2 (Part. Yung Buda) Yung Buda - Hacker Dresscode Yung Buda - Motorola V3 "
82,"Desta vez abordaremos um tema que ganhou mais espaço em campo de debate nos últimos tempos: a masculinidade negra.   Como nosso alvo direto é a periferia, não esquecemos de falar diretamente sobre o perfil masculino de quebrada, como as ruas formaram nossas construções sociais.  O episódio é um bate papo descontraído com reflexões baseadas em estudos e vivências, tivemos como convidado o Caio César (o famoso geocaio), que vem estudando o tema há um tempo e trouxe um pouco da sua experiência com o tema para compartilhar informações com vocês.  Embora o clima esteja descontraído, há uma carga pesada por trás de tudo, há experiências reais sobre os participantes e o episódio carece de atenção, além de sensibilidade para entender sobre o que estamos falando.  Bom, como sempre, o bagulho ta polemicão e pra realmente saber se ta pesado ou não, só dando play! Então por gentileza, escute e reflita com a gente sobre esse tema que tem muito a ser explorado.  Participantes:  Caio César Kaio Teixeira Reginaldo Junior Willian Viana  Links:  Canal Caio César - https://www.youtube.com/caiocesargeo MASCULINIDADE NEGRA - https://www.youtube.com/watch?v=ljeNA5lPlTQ Homens negros precisam de terapia! - https://www.youtube.com/watch?v=uC-PVAdGB58 Podcast MEMOH - https://sobrebarba.com.br/blogs/blog/ta-no-ar-podcast-memoh-em-parceria-com-a-sobrebarba  Músicas:  Racionais MCs - Jesus Chorou Kendrick Lamar - M.A.A.D City Frank Ocean - Wise Man BK - Julius BK - Exóticos MC Orelha - Faixa de Gaza MC Smith - Visão de Cria X Sem Peita - Mix DMN - H. Aço part Edi Rock "
83,"Já que temos ligação direta com a tecnologia, não podia faltar pauta em bits e bytes, né não?  Bom, desta vez resolvemos falar sobre algoritmos e não abordamos de forma superficial, desde a definição de lógica à história, os tipos de algoritmos mais populares, algoritmos que auxiliam em pesquisas e os temas mais intrigantes como algoritmos discriminatórios e o capitalismo de vigilância! Na moral, o episódio ficou interessante e informativo — como todos é claro.  Além de politização e a busca pela representatividade da periferia no desenvolvimento de algoritmos, desmitificamos passo a passo um tema que não é um bicho de sete cabeças, mas afasta muitas pessoas por autoestima intelectual baixa, chega mais e explore suas capacidades cognitivas que quem ta no toque do podcast de periferia é o QuebraDev, fiel!  Participantes:  Matheus Hernandes Reginaldo Junior Willian Viana  Links:  Governo Dos Algoritmos - https://edisciplinas.usp.br/pluginfile.php/4452794/mod_resource/content/1/S%C3%A9rgio%20Amadeu%20SILVEIRA%20%20Governo%20dos%20Algoritmos.pdf A regulamentação europeia e o direito a explicações - https://medium.com/tecs-usp/a-regulamentacao-europeia-e-o-direito-a-explicacoes-612670f00bc3 Vamos conversar, Getty Images? - https://www.youtube.com/watch?v=AfoDoTMJbOs Desabafo Social - http://desabafosocial.com.br/ Um pouco do que é preciso saber sobre robôs móveis ... - https://moodle-arquivo.ciencias.ulisboa.pt/1516/pluginfile.php/116761/mod_resource/content/0/robots.pdf Como a falta de diversidade pode afetar a tecnologia que consumimos - https://ada.vc/2019/01/31/gabriela-mattos-diversidade/?fbclid=IwAR2BzDJAf5g9fgGOOoiGmqJ5UKDiHXau5_7QupEPjYQCKAMvojh9WpSIVQo  Musicas:  RZO e Sabotage - NEURAL Parteum - Raciocínio Quebrado Edgar - Print Funkadelic - Maggot Brain Rodrigo Ogi - Corrida dos Ratos Edgar - Plástico "
84,"Para iniciar essa temporada com chave de ouro, resolvemos falar sobre a resistência da quebrada, os assuntos estão bem variados, fizemos uma recapitulação de alguns episódios e uma introdução da postura que adotaremos a partir dessa temporada. O estudo como forma de resistência, a busca de união entre produtores de conteúdo que façam parte de recortes minoritários (principalmente pretos e periféricos), o autoconhecimento, a autogestão, as formas de luta que podemos ter para nos emanciparmos.  Fizemos um bom apanhado de nossas reflexões e esperamos surpreender à todos com essa temporada que virá quebrando tudo, afinal, é QuebraDev! Então na moral? Dê o play e pega a visão, é papo de avanço!  Participantes:  Bruno Dias Gustavo Castilião Kaio Teixeira Matheus Hernandes Reginaldo Junior  Links:  O papel da autoestima na ocupação dos espaços - https://quebradev.com.br/o-papel-da-autoestima-na-ocupacao-dos-espacos/ Tecnogueto - https://www.tecnogueto.com.br/ Cooperifa - http://cooperifa.com.br/ Banco Comunitário - Moedas Alternativas - https://www.youtube.com/watch?v=sG5XZ5T-URU Thread do Kaio no Twitter - https://twitter.com/kaletex/status/1098798726611636226 Finanças com a Nath - https://www.youtube.com/channel/UCmhzmQBdXP9TeRtpQ-iWSPg Padrim QuebraDev - https://www.padrim.com.br/quebradev  Musicas:  Racionais MCs - Mil Faces de Um Homem Leal Dfideliz - Preto Rico GABZ - Do Batuque Ao Bass Black e Djonga - LUTO Racionais MCs - Finado Neguin Drik Barbosa e Karol de Souza - Céu Azul Raffa Moreira - Paga O Que Ce Deve Pra Mim "
85,"Neste que é o último episódio da temporada, resolvemos fazer uma espécie de reunião, então não se preocupem com a quantidade de vozes que estão no ar.  Reunimos todos os membros do QuebraDev (com exceção do Matheus que dormiu no trem e foi parar em Calmon Viana) para falar um pouco das nossas últimas reflexões, nossas detecções de falhas, acertos e também os possíveis planos que adotaremos para arcar com a responsa da postura que resolvemos assumir nestes últimos tempos para atingirmos nosso real objetivo: entregar o mínimo de poder à periferia.  Então na moral, vocês queriam novidade, não percam a oportunidade de ouvir este que é um dos mais emblemáticos episódios do podcast mais perifatécnico do mundão, então da play no bagulho e confere aí.  Participantes:  Bruno Dias Gustavo Castilião Junior Pereira Kaio Teixeira Matheus Hernandes Miguel Sorares Reginaldo Junior Willian Viana  Links:  Twitter PerifaCon - https://twitter.com/perifacon Os podcasts das quebradas - KondZilla - https://kondzilla.com/os-podcasts-da-quebrada/ Lambda3 - https://www.lambda3.com.br/ QuebraDev no BuzzFeed - https://www.buzzfeed.com/br/davirocha/podcats-pessoas-negras  Musicas:  BK - Novo Poder Tim Maia - Bom Senso MC Lon - MUNDO M FBC - 17 anos Raffa Moreira - Allah Assalamaleiko Amen Delatorvi - Páreos ? part. Lay Djonga - UFA pt Sidoka Sant 2Pac Feat. Dr.Dre & Roger Troutman - California Love Bob Marley - Stir it up MC Zoi de Gato - Eu Não Quero Buxixo Racionais MC's - Vida Loka Parte 2 "
86,"O penúltimo episódio dessa temporada fodástica do QuebraDev tem como convidado especial o William Oliveira, mais um jovem com descendência periférica, uma história foda e ótimas intenções para colaborar com as vidas originárias de onde ele veio.  O maluco é escritor de códigos, artigos, um livro e além de tudo, luta há tempos pela diversidade na área de tecnologia. Nós acompanhamos o trampo do William há um tempo, falamos dele em vários episódios do QuebraDev e dessa vez tivemos a oportunidade de entrevista-lo, então na moral? Da um play e confere o conteúdo desse bate papo que ta extremamente proveitoso, suave?  Participantes:  Kaio Leal Gustavo Castilião Reginaldo Junior William Oliveira  Links:  William Oliveira - LinkedIn - https://www.linkedin.com/in/william-oliveira/ William Oliveira - Medium - https://medium.com/@woliveiras/ O Universo da Programação - YouTube - https://www.youtube.com/channel/UCWrqsnPLl6aRX0ECUmPaZEw Tweet do Emicida sobre meritocracia - https://twitter.com/emicida/status/1050538599438082048 Um livro sobre carreira em programação - https://medium.com/trainingcenter/um-livro-sobre-carreira-em-programa%C3%A7%C3%A3o-d3eaeac00a67 Casa do Código - O universo da programação, um guia de carreira em desenvolvimento de software - https://www.casadocodigo.com.br/products/livro-universo-programacao Training Center - https://trainingcenter.io/ ABC-Dev 2018 - https://2018.abcdevelopers.org/ Criando um bot para tibia - https://www.youtube.com/watch?v=xsG7tN1UWsw  Musicas:  FBC - Superstar Rincon Sapiência - Dame Mais Hot e Oreia - Nudez DV Tribo - Finânças Baco Exu do Blues - A Pele Que Habito FBC - Frank & Tikao ft. Chris "
87,"Desta vez, tivemos a honra de conversar com o Lucas Silva, que é um assíduo membro de diferentes comunidades e durante um bate papo descontraído, conseguimos dar um giro em assuntos que vão de acessibilidade e inclusão nas comunidades de tecnologia, estruturas familiares, vício em drogas, vivências de quebrada e formas de ajudar as pessoas. O bate papo ficou muito bom e recomendamos muito que vocês ouçam, então na moral, da play e confere o bagulho aê, taoquei?  Participantes:  Kaio Leal Gustavo Castilião Reginaldo Junior Lucas Silva  Links:  Lucas J S - Medium - https://medium.com/@lucasjs Oi, meu nome é Lucas e eu sou um “viciado” - https://medium.com/@lucasjs/oi-meu-nome-%C3%A9-lucas-e-eu-sou-um-viciado-4a8a629cff5c Curso Design Digital - https://portal.anhembi.br/graduacao/cursos/design-digital/ Training Center - https://github.com/training-center CAPS (Centros de Atenção Psicossocial)- https://www.prefeitura.sp.gov.br/cidade/secretarias/saude/atencao_basica/index.php?p=204204  Musicas:  Racionais MC's - O Homem na estrada Erykah Badu - Bag Lady Edgar - Crack so se for de Futebol Diego Moraes - Muderno Oficial CRIOLO - Menino Mimado Di Melo - A Vida em seus metodos diz calma 2Pac - Dear Mama Official Music Video "
88,"Nesse episódio, conversamos um pouco sobre como foi a experiência de participar  do ABC-Dev, que é a maior conferência dev do Grande ABC e que foi o evento onde tivemos um espaço muito foda para debater ideias e onde conhecemos pessoas incríveis.   Também conversamos sobre assuntos relacionados a diversidade e inclusão na área de tecnologia e tudo isso com a ilustre presença da Miguel que é a zica viva das interwebs e dos eventos, tá ligado?   Então faz assim dá o play aí, se curtir, manda pros camaradas e comente nas redes o que achou do episódio!  Participantes:  Kaio Teixeira Reginaldo Junior Gustavo Castilião Matheus Hernandes Miguel  Links: ABC-Dev 2018 - https://2018.abcdevelopers.org/ LGBTI+ In Tech - https://www.meetup.com/LGBTIinTech-SP/  Musicas:  Michael Jackson - They Don’t Care About Us Rico Dalasam - Aceite-C MC Ananda - Eu quero que tu vá, vai tomar no cú Mc Linn da Quebrada - Bixa Preta Dina Di - Mente Engatilhada Quebrada Queer - Pra Quem Duvidou Liniker e os Caramelows - Calmo "
89,"O Alê é um Consultor de Games, autor de fantasias afro-americanas e ficção científica, a zica viva do marketing inovador e estratégico, o trabalho em que o conhecemos foram as threads que ele cria no twitter, além do mais, o cara é fundador de uma consultoria de entretenimento estratégico chamada Savage Fiction.  Participantes:  Kaio Leal Gustavo Castilião Reginaldo Junior Ale Santos  Links:  Ale Santos - https://twitter.com/Savagefiction Savagefiction - http://savagefiction.com/ Ale Santos no BuzzFeed - https://www.buzzfeed.com/tatianafarah/este-escritor-brasileiro-esta-contando-historias-do-povo Storytelling - https://www.tracto.com.br/o-que-e-storytelling/ Uma das threads do Ale Santos - https://twitter.com/Savagefiction/status/1052337358215950336 FLUP - Festa Literária das Periferias - http://flup.net.br/  Musicas:  Emicida e Lakers e Pá - Minha Vida IZA - Dona de Mim PSICOPRETAS VOL. 2 - Yzalú  Gabi Nyarai  Alinega  Meg Tmthc  Sistah Chilli  Monna Brutal Quebrada Queer - Guigo Murillo Zyess Harlley Lucas Boombeat Tchelo Gomez Raffa Moreira - De Fato Part niLL Baco Exu do Blues - Disgraca do ano part Bril e Bk Nectar gang PARTEUM - MMXVIII Racionais - Mente do Vilao Kodak Black - Tunnel Vision "
90,"O episódio da vez foi atendendo a pedidos que recebemos por ouvintes, temos convidada no recinto e não é do sexo masculino, falaremos de JavaScript com a Miguel. Falamos um pouco sobre história da tão aclamada ECMAScript, a forma que o JQuery fez com que essa linguagem maravilhosa chegasse como chegou aos dias de hoje, não deixamos de lado os frameworks e as tretas que rodeiam este tema e o mais daora, com cultura de rua, com periféricos e umas risadas, então assim.. sem mais delongas, ouve o bagulho aí.  Participantes:  Kaio Teixeira Reginaldo Junior Gustavo Castilião Matheus Hernandes Miguel Junior  Links: - História do Javascript Links úteis: https://pt.wikipedia.org/wiki/JavaScript http://shipit.resultadosdigitais.com.br/blog/javascript-1-uma-breve-historia-da-linguagem/ https://codeburst.io/javascript-wtf-is-es6-es8-es-2017-ecmascript-dca859e4821c https://medium.com/trainingcenter/como-é-trabalhar-como-javascript-developer-por-júlia-rizza-c46d8841b997 ---------------------------------------------------------------------------------------------------------------------- - A importância do JQuery Links úteis: https://pt.wikipedia.org/wiki/JQuery https://www.treinaweb.com.br/blog/ainda-vale-a-pena-utilizar-o-jquery/ https://leobalter.github.io/pt-br/jquery/2014/02/19/o-hype-sobre-não-utilizar-jquery.html ---------------------------------------------------------------------------------------------------------------------- - Frameworkerização do rolê Links úteis: https://blog.codecasts.com.br/enquanto-voce-le-um-novo-framework-js-nasce-sqn-6da38ed0a0e9 https://blog.codecasts.com.br/e-se-o-vue-js-fosse-descontinuado-6ba56eb5a751 ---------------------------------------------------------------------------------------------------------------------- - Eventos, Comunidades, Inclusão e o Underground (BrazilJS, NodeBR, Frontinsampa) Links úteis: http://nodebr.com/comunidades-de-node-js/ https://braziljs.org/ https://www.frontinsampa.com.br/ ---------------------------------------------------------------------------------------------------------------------- - O mercado de trabalho de JS Links úteis: https://www.netguru.co/blog/top-companies-used-nodejs-production https://www.treinaweb.com.br/blog/o-que-se-pode-fazer-com-javascript-hoje-em-dia/  Musicas:  Sabotage e Di Função - Vira Lata SA DaLua - Chainz On My Neck (Klyn  Rare Kidd  Fahel) ABRONCA - Gangsta Clipe Oficial The Carters - APESHIT Recayd Mob - Plaqtudum (feat. Jé Santiago, Derek & Dfideliz) (prod. Lucas Spike) Lil Uzi Vert - XO Tour Llif3 Cardi B, Bad Bunny & J Balvin - I Like It "
91,"Fizemos este episódio na correria para noticiar algo que está fazendo com que nossas pequenas ideias tomem corpo e migrem para o mundo real, temos novidades e vocês precisam nos ouvir, então façam o favor, liguem seus autofalantes e dêem play na bagaça!  Participantes:  Kaio Teixeira Reginaldo Junior Gustavo Castilião  Links:  AfroPython - https://afropython.org/ Form para o evento - https://docs.google.com/forms/d/e/1FAIpQLSc1G05J0Vxmw01Y8RSkKVvzLQXBIli37ObAh3PrNJ8AQruqeQ/viewform ABC-Dev Conf - https://2018.abcdevelopers.org/ Rede Autônoma Feminista (projeto da Geisa) - http://redeautonomafeminista.org/fuxico/ Elemencast - https://elemencast.github.io  Musicas:  Rodrigo Ogi - 7 Cordas Froid - Pseudosocial DEREK feat. Baco Exu do Blues - Intro "
92,"Ó quem voltou doutor, o podcast mais periférico do bagulho e nesse episódio de retorno deixamos uma pitada de polêmica com uma pauta meio... política — que não deixa de fazer parte do que representa a tecnologia, seus meios de acessibilidade e transformação da sociedade. Falamos sobre ocupação de espaços, autoestima e otras cositas más, cositas estas que vocês vão ficar sabendo assim que ouvirem, então sem mais delongas, da play na bagaça e não esqueça de compartilhar, mandar críticas, sugestões e até elogios, precisamos de interação, aliás não somos nada sem vocês.  Participantes:  Kaio Teixeira Reginaldo Junior Gustavo Castilião  Links:  Precisamos romper com os silêncios. - https://www.youtube.com/watch?v=6JEdZQUmdbc Brancos são a maiorias em empregos de elite e negros ocupam vagas sem qualificação. - https://g1.globo.com/economia/noticia/brancos-sao-maioria-em-empregos-de-elite-e-negros-ocupam-vagas-sem-qualificacao.ghtml A guerra não declarada na visão de um favelado. - https://vaiserrimando.com.br/2013/11/03/eduardo-livro-guerra-nao-declarada-visao-favelado-resenha/ Eduardo Galeano - https://pt.wikipedia.org/wiki/Eduardo_Galeano E Não Sobrou Nenhum - Agatha Christie - https://www.livrariacultura.com.br/p/livros/literatura-internacional/ficcao-policial/e-nao-sobrou-nenhum-15060167 A vida que vale a pena ser vivida - Clóvis de Barros Filho - https://www.livrariacultura.com.br/p/livros/filosofia/a-vida-que-vale-a-pena-ser-vivida-22119769 A origem da familia, da propriedade privada e do estado - Friedrich Engels - https://www.livrariacultura.com.br/p/livros/ciencias-sociais/sociologia/a-origem-da-familia-da-propriedade-privada-e-do-estado-edicao-de-bolso-42746219  Musicas:  509-E - Oitavo Anjo DMN - H Ponto Aço part. Edi Rock Rincon Sapiência - Ponta de Lança Xis - Us Mano e As Mina Racionais MCs - Negro Drama Emicida - Mandume ft. Drik Barbosa, Amiri, Rico Dalasam, Muzzike, Raphão Alaafin Chico Buarque - Apesar de Você Ronald Rios com KL Jay "
93,"Neste episódio iremos abordar o tema: Linguagens como ferramentas, como escolhe-las?  É um tema polêmico que confronta diretamente aquela treta chata e infinita: Ai, a linguagem que eu uso é melhor da melhor do mundo!, Ui, só a linguagem que eu uso é performática!, Ai, a linguagem que eu uso tem a melhor semântica! e nossa proposta é demonstrar que linguagens de programação são ferramentas que servem para resolver problemas e que a melhor linguagem é aquela que resolverá melhor o seu problema do momento. Então chega mais e da play no bagulho que ta rolando uma roda de capoeira pesadona enquanto a gente caga regra pra vocês.  Se vocês curtem o conteúdo, não esqueçam de divulgar a gente pra todo canto, além de nos dar singelas opiniões também, vocês são a fonte de energia para que nós consigamos produzir este canal de comunicação.  Participantes:  Kaio Teixeira Reginaldo Junior Gustavo Castilião  Links:  Programação orientada a objetos - https://www.devmedia.com.br/principais-conceitos-da-programacao-orientada-a-objetos/32285 Programação funcional para iniciantes - https://medium.com/trainingcenter/programa%C3%A7%C3%A3o-funcional-para-iniciantes-9e2beddb5b43 Programação procedural - https://pt.wikipedia.org/wiki/Programa%C3%A7%C3%A3o_procedural Linguagem de programação - https://pt.wikipedia.org/wiki/Linguagem_de_programa%C3%A7%C3%A3o Paradigmas de programação - http://protocoloti.blogspot.com/2012/04/paradigmas-de-programacao.html Principais linguagens de programação - https://becode.com.br/principais-linguagens-de-programacao/  Musicas:  Grupo Nzinga - Meníno Preste Atenção Grupo Nzinga - Tím Tím Tím lá Vaí Víola Grupo Nzinga - A Písada de Lampíão Paulo César Pinheiro - Toque Amazonas Instrutor Sandro (Grupo Muzenza) - Você não sabe o valor que a Capoeira tem Mestre Jogo de Dentro - Canarinho da Alemanha Mestre Luiz Renato - As vezes me chamam de negro "
94,"Discutimos qualidade de vida, pontos de melhorias e como ter uma vida mais saudável melhorando seu trajeto até o trabalho, falamos um pouco sobre a formação das periferias e a dificuldade no trajeto intermunicipal, comentamos sobre a importância de estar nos lugares e tudo isso com muito Hip Hop, Capoeira e os salves para aquele pessoal que entrou em contato conosco.  Participantes:  Kaio Teixeira Reginaldo Junior Gustavo Castilião  Links:  Como o trajeto até o trabalho pode prejudicar a saúde - https://gauchazh.clicrbs.com.br/saude/vida/noticia/2015/06/pesquisa-mostra-como-o-trajeto-ate-o-trabalho-pode-prejudicar-a-saude-4773409.html Trajeto até o trabalho pode causar doenças psicológicas - https://odia.ig.com.br/_conteudo/noticia/mundoeciencia/2015-06-04/trajeto-ate-o-trabalho-pode-causar-doencas-psicologicas.html SP 6º trajeto mais difícil até o trabalho - https://www.estadao.com.br/noticias/geral,sp-tem-6-trajeto-mais-dificil-ate-trabalho-diz-estudo,574142 Trajeto entre casa e trabalho leva ao menos 2 horas em ao menos 8 capitais brasileiras - https://noticias.uol.com.br/cotidiano/ultimas-noticias/2015/09/11/trajeto-casa-trabalho-leva-ao-menos-duas-horas-em-oito-capitais-diz-firjan.htm Cidadão de capitais brasileiras demora mais no trajeto de casa para o trabalho - http://www.mobilize.org.br/noticias/3698/cidadao-de-capitais-brasileiras-demora-mais-no-trajeto-de-casa-para-o-trabalho.html Trajetos entre municípios - https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2015/03/25/maior-fluxo-entre-cidades-do-pais-e-guarulhossao-paulo-aponta-ibge.htm Deslocamento diário periferia de São Paulo - https://www.theguardian.com/cities/2017/dec/01/periferia-sao-paulo-deslocamento-diario-quatro-horas Artigo sobre Valor/Hora e Qualidade de Vida - https://medium.com/@lfeh/uma-reflex%C3%A3o-sobre-sal%C3%A1rios-valor-hora-e-qualidade-de-vida-7aa2b835bb  Musicas:  Racionais MCs - Da Ponte Pra Cá Cassiano - Onda Racionais MCs - Eu Compro Djonga - Esquimo Raffa Moreira - Rockstar Denov - Autoestima Kaio Teixeira - Berimbau [AO VIVO] "
95,"Dessa vez falamos um pouco dos motivos para usar Linux. Abordamos também as vantagens e desvantagens de usar, apresentando algumas distribuições feitas especificamente para cada tipo de tarefa, como por exemplo, jogos ou edição de imagens. Explicamos alguns detalhes mais técnicos envolvendo o linux e a sua arquitetura e como funcionam os gerenciadores de pacotes. No final demos algumas dicas para quem deseja se aventurar pelo linux. Tudo isso com muita música boa e um pouco de jazz.  Participantes:  Kaio Teixeira Matheus Hernandes Reginaldo Junior  Links:  O Sistema Operacional GNU e o Movimento de Software Livre - https://www.gnu.org/home.pt-br.html O que é o Linux - https://www.vivaolinux.com.br/linux/ Principais Distribuições Linux - https://www.vivaolinux.com.br/download-linux/ O que é o Kernel - https://www.escolalinux.com.br/blog/kernel-do-linux-o-que-e-e-para-que-serve Diferenças entre Open Source e Software Livre - https://www.gnu.org/philosophy/open-source-misses-the-point.pt-br.html Origem da Palavra Ubuntu - http://ninjadolinux.com.br/significado-da-palavra-ubuntu/ Segurança no Linux - http://meupinguim.com/por-que-o-linux-e-o-mac-os-x-sao-mais-seguros/ Gerenciadores de Pacote - https://www.vivaolinux.com.br/artigo/Gerenciadores-de-pacotes-GNULinux Comandos Básicos do Terminal - https://hernandes.io/Terminais-sao-legais-como-comecar-a-usar/ Iniciando no Linux - http://e-tinet.com/linux/aprender-linux-iniciantes/ Dicas para Ubuntu - https://canaltech.com.br/linux/Novo-no-Ubuntu-Saiba-por-onde-comecar/  Musicas:  The Brides of Funkenstein - Birdie Al Green - Free At Last Jake The Flake - Aint no Superman Mtume - Hip Dip Skippedabeat Ohio Players - Pride And Vanity Ray Davies Orchestra - Theme From Kiss Of Blood Zapp & Roger - Be Alright Cassiano - Onda "
